Time=0 | newd=0 | din=0 | dout=x | last=x
Time=10000 | newd=0 | din=0 | dout=0 | last=0
Time=211000 | newd=1 | din=4 | dout=0 | last=0
Time=231000 | newd=0 | din=4 | dout=0 | last=0
Time=270000 | newd=0 | din=4 | dout=4 | last=0
Time=290000 | newd=0 | din=4 | dout=8 | last=0
Time=310000 | newd=0 | din=4 | dout=12 | last=1
Time=330000 | newd=0 | din=4 | dout=0 | last=0
Time=351000 | newd=1 | din=1 | dout=0 | last=0
Time=371000 | newd=0 | din=1 | dout=0 | last=0
Time=410000 | newd=0 | din=1 | dout=1 | last=0
Time=430000 | newd=0 | din=1 | dout=2 | last=0
Time=450000 | newd=0 | din=1 | dout=3 | last=1
Time=470000 | newd=0 | din=1 | dout=0 | last=0
Time=491000 | newd=1 | din=9 | dout=0 | last=0
Time=511000 | newd=0 | din=9 | dout=0 | last=0
Time=550000 | newd=0 | din=9 | dout=9 | last=0
Time=570000 | newd=0 | din=9 | dout=18 | last=0
Time=590000 | newd=0 | din=9 | dout=27 | last=1
Time=610000 | newd=0 | din=9 | dout=0 | last=0
Time=631000 | newd=1 | din=3 | dout=0 | last=0
Time=651000 | newd=0 | din=3 | dout=0 | last=0
Time=690000 | newd=0 | din=3 | dout=3 | last=0
Time=710000 | newd=0 | din=3 | dout=6 | last=0
Time=730000 | newd=0 | din=3 | dout=9 | last=1
Time=750000 | newd=0 | din=3 | dout=0 | last=0
Time=771000 | newd=1 | din=13 | dout=0 | last=0
Time=791000 | newd=0 | din=13 | dout=0 | last=0
Time=830000 | newd=0 | din=13 | dout=13 | last=0
Time=850000 | newd=0 | din=13 | dout=26 | last=0
Time=870000 | newd=0 | din=13 | dout=39 | last=1
Time=890000 | newd=0 | din=13 | dout=0 | last=0
Time=911000 | newd=1 | din=13 | dout=0 | last=0
Time=931000 | newd=0 | din=13 | dout=0 | last=0
Time=970000 | newd=0 | din=13 | dout=13 | last=0
Time=990000 | newd=0 | din=13 | dout=26 | last=0
INFO: [USF-XSim-96] XSim completed. Design snapshot 'top_tb_behav' loaded.
INFO: [USF-XSim-97] XSim simulation ran for 1000ns
launch_simulation: Time (s): cpu = 00:00:03 ; elapsed = 00:00:06 . Memory (MB): peak = 2477.121 ; gain = 0.000
